,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
1134,AK,AZ,616720
1135,NV,SD,613716
1136,PA,VI,606796
1137,VI,PA,606653
1138,WY,IL,606467
1139,NH,KY,604413
1140,CO,CT,604289
1141,ME,FL,603204
1142,AZ,KS,599141
1143,IL,MT,599124
1144,AR,AZ,598675
1145,ME,NC,597814
1146,FL,ME,594855
1147,MT,MT,590521
1148,KS,AZ,586028
1149,AZ,AK,585406
1150,NE,WI,581596
1151,KY,NM,580938
1152,WI,NE,574588
1153,NC,ME,566701
1154,CT,CA,563968
1155,HI,NY,558054
1156,NE,CA,556316
1157,CA,CT,554702
1158,WA,WI,551835
1159,KS,MN,550209
1160,LA,UT,545472
1161,MN,KS,542759
1162,RI,NY,539318
1163,NY,HI,538342
1164,SD,AZ,534307
1165,AZ,SD,533456
1166,NY,RI,531707
1167,NM,OR,531024
1168,WI,WA,528295
1169,CT,AZ,528146
1170,CA,NE,527726
1171,NE,NJ,524872
1172,UT,LA,520792
1173,TX,SD,516794
1174,NJ,NE,512140
1175,SD,TX,511213
1176,KY,NE,507181
1177,OR,NM,504704
1178,RI,TN,497648
1179,NE,KY,490089
1180,LA,MA,483124
1181,UT,SD,479796
1182,MA,LA,479597
1183,OH,SC,478980
1184,SC,OH,477640
1185,MT,CA,476725
1186,SD,UT,471551
1187,TN,RI,469609
1188,MD,OK,468250
1189,HI,MO,467092
1190,MO,HI,462352
1191,TN,CT,462300
1192,CA,MT,459911
1193,MD,MS,457014
1194,NH,NV,451681
1195,MS,MD,449343
1196,AL,NY,445538
1197,OR,MT,444557
1198,MI,AR,444207
1199,AZ,CT,443111
1200,CA,AR,442247
1201,OK,MD,439269
1202,IA,TN,434829
1203,VI,NJ,434677
1204,NJ,VI,433756
1205,MT,OR,431667
1206,NV,NH,431396
1207,NY,AL,428806
1208,OH,WA,428317
1209,NE,FL,423807
1210,AR,MI,423693
1211,WA,OH,422916
1212,AR,CA,421064
1213,MN,RI,421057
1214,FL,NE,413982
1215,MO,AL,412594
1216,WV,KY,412105
1217,TN,IA,410920
1218,AL,AZ,409602
1219,RI,MN,402664
1220,KY,WV,400891
1221,RI,NV,398915
1222,WV,PA,395948
1223,OR,NC,392135
1224,PA,WV,391753
1225,NM,NM,387780
1226,CT,TN,385311
1227,AZ,AL,382731
1228,TN,KS,378750
1229,NV,RI,376917
1230,CA,PR,376582
1231,PR,CA,374675
1232,AR,MN,374465
1233,AL,MO,373729
1234,OK,NC,370235
1235,KS,TN,370176
1236,AK,GA,369096
1237,NC,OK,367021
1238,TX,RI,366474
1239,NC,OR,365823
1240,OK,NJ,364124
1241,MN,AR,362072
1242,IA,NC,360164
1243,CT,NY,358405
1244,OK,FL,357516
1245,NJ,OK,357406
1246,IL,WV,356965
1247,NC,IA,356935
1248,NY,CT,354653
1249,LA,OH,353298
1250,WV,IL,352061
1251,TN,NH,351457
1252,OH,LA,350822
1253,NM,VA,350312
1254,GA,AK,348384
1255,NE,NC,344144
1256,FL,OR,339986
1257,PR,MI,336886
1258,MA,VI,336792
1259,VA,NM,336233
1260,NC,NE,336141
1261,MD,AR,335951
1262,OR,PA,335789
1263,AR,MD,334834
1264,WV,MI,332683
1265,MI,PR,329101
1266,FL,OK,328965
1267,MI,WV,325111
1268,PA,OR,324336
1269,OR,FL,323475
1270,RI,TX,322910
1271,RI,RI,322528
1272,CA,RI,309207
1273,RI,CA,308960
1274,NY,AR,307266
1275,IN,UT,306889
1276,AR,FL,305113
1277,UT,IN,304642
1278,AR,NY,302574
1279,FL,AR,298437
1280,VI,MA,293628
1281,OK,VA,290331
1282,WI,IN,290072
1283,ND,FL,289202
1284,NH,TN,289064
1285,IN,WI,282680
1286,WA,LA,281572
1287,IA,WI,281080
1288,FL,ND,281056
1289,ID,TX,280743
1290,WY,MN,277877
1291,HI,VA,276527
1292,MS,KY,276405
1293,VA,IA,276303
1294,WI,IA,275448
1295,TX,ID,275091
1296,GA,VT,272833
1297,NJ,AR,272337
1298,IA,VA,271998
1299,VA,OK,270739
1300,VA,HI,267391
1301,MN,WY,266589
1302,KY,MS,264690
1303,VT,GA,263572
1304,AL,PA,262852
1305,LA,WA,261080
1306,AR,NJ,259315
1307,KY,HI,254678
1308,NM,NY,252690
1309,HI,KY,252239
1310,FL,VT,247980
1311,PA,AL,247289
1312,TX,WV,247120
1313,PR,MO,246656
1314,NY,NM,245239
1315,UT,OH,244410
1316,OH,UT,239708
1317,VT,FL,237503
1318,NH,AZ,235999
1319,AZ,NH,234761
1320,MO,PR,233194
1321,OH,VT,232817
1322,ND,UT,228386
1323,HI,MI,222987
1324,WV,TX,220480
1325,MA,VT,220106
1326,MI,AK,219418
1327,UT,ND,215976
1328,SD,FL,215962
1329,MS,MI,215218
1330,MI,MS,214763
1331,NH,CA,214278
1332,WI,UT,212205
1333,VT,MA,210541
1334,FL,SD,209592
1335,RI,MO,208127
1336,WI,CT,208034
1337,AK,MI,208002
1338,CT,WI,206264
1339,UT,WI,205567
1340,NJ,AL,204461
1341,CA,NH,204313
1342,VA,VI,204193
1343,VT,OH,199096
1344,AL,NJ,198041
1345,ND,TX,197963
1346,VT,KY,196774
1347,MN,NH,195670
1348,TX,ND,194715
1349,MO,RI,193442
1350,MO,NH,191628
1351,KY,VT,187069
1352,NV,AK,186933
1353,SD,MO,186477
1354,NH,MN,178319
1355,AK,NV,177503
1356,MO,SD,177260
1357,MI,HI,177147
1358,MS,VA,175645
1359,NH,MO,173963
1360,VA,MS,173924
1361,MT,GA,172466
1362,GA,MT,171477
1363,VI,VA,167396
1364,OR,MD,166026
1365,WY,GA,163779
1366,WA,NE,163094
1367,OH,PR,161818
1368,SD,GA,161261
1369,GA,WY,159846
1370,GA,SD,159205
1371,PR,OH,157261
1372,NE,WA,154268
1373,MD,OR,152975
1374,PR,MN,149053
1375,MN,PR,143925
1376,CA,KS,140526
1377,KS,CA,137332
1378,WY,CA,135921
1379,ME,OH,134983
1380,WV,OH,133698
1381,OH,ME,133616
1382,CA,WY,133489
1383,OH,WV,131804
1384,WV,SC,130471
1385,NE,NY,128649
1386,MO,SC,128468
1387,CA,AL,128166
1388,NV,WY,127632
1389,WY,NV,127071
1390,NH,TX,126481
1391,NY,IA,125197
1392,SC,WV,124388
1393,WI,LA,124284
1394,LA,WI,123680
1395,MA,RI,122388
1396,AK,NJ,122160
1397,IA,NY,122151
1398,SC,MO,121669
1399,RI,MA,120310
1400,AL,CA,120300
1401,IN,LA,119581
1402,AL,MN,117661
1403,KS,KY,116515
1404,NY,NE,116321
1405,LA,IN,115681
1406,NH,CO,115541
1407,CO,NH,113955
1408,IN,WA,112577
1409,RI,CO,112509
1410,CO,RI,112474
1411,WA,IN,112157
1412,MN,AL,111836
1413,IA,CA,111460
1414,IA,NJ,110116
1415,UT,AR,110013
1416,SD,KY,109883
1417,CA,IA,108860
1418,IL,VI,107306
1419,AR,UT,106902
1420,KY,KS,104476
1421,NJ,IA,104236
1422,NJ,AK,101813
1423,WA,OK,100350
1424,KY,SD,98749
1425,CT,IN,98411
1426,AK,MO,97375
1427,IN,CT,93668
1428,LA,OK,93274
1429,OK,WA,93144
1430,MO,AK,92953
1431,AR,VA,92169
1432,TX,NH,91703
1433,MT,TX,91080
1434,VA,AR,90723
1435,TX,MT,90509
1436,UT,IA,90133
1437,IA,UT,88256
1438,AZ,MS,86935
1439,ID,GA,86698
1440,NJ,NM,86671
1441,KY,AK,86171
1442,OK,LA,84758
1443,NC,VT,84031
1444,VT,NC,83747
1445,GA,ID,83580
1446,VT,MD,82262
1447,MD,VT,80982
1448,DE,FL,80417
1449,VI,IL,80028
1450,FL,DE,79907
1451,LA,NM,79822
1452,NM,LA,79569
1453,MS,OH,79163
1454,OK,OH,78777
1455,NM,NJ,78739
1456,AK,KY,77052
1457,PR,TN,75255
1458,OH,MS,74798
1459,TN,PR,74261
1460,OK,NM,73502
1461,OH,OK,71594
1462,NH,MA,71169
1463,MD,NE,70833
1464,TN,NM,70766
1465,MS,AZ,70149
1466,NM,TN,68536
1467,CA,SD,68203
1468,SC,IN,67767
1469,MA,NH,67605
1470,CA,ND,67177
1471,ND,CA,66632
1472,SD,CA,66350
1473,NM,OK,65241
1474,IN,SC,64175
1475,SC,WA,62615
1476,WA,SC,62152
1477,RI,LA,60240
1478,MS,SC,56099
1479,NE,OR,55913
1480,OR,TN,55742
1481,SC,MS,55677
1482,OH,AL,54844
1483,OH,OR,53658
1484,NY,WV,53619
1485,OR,NE,53361
1486,OR,OH,52716
1487,NE,OH,52602
1488,MI,KS,52256
1489,MI,SD,52189
1490,ME,MN,52110
1491,MN,ME,50722
1492,WV,NY,50700
1493,AL,OH,49880
1494,SD,MI,48890
1495,NE,MD,48163
1496,OK,NY,47859
1497,MT,ID,47840
1498,SD,SD,47686
1499,SC,CO,47583
1500,IN,IN,46799
1501,KS,MI,46733
1502,MS,CA,46720
1503,ID,MT,45608
1504,OH,NE,44870
1505,FL,HI,43201
1506,TN,OR,42224
1507,CO,MS,42091
1508,MS,NV,41976
1509,PA,NM,41970
1510,CO,SC,41811
1511,CA,MS,41748
1512,TT,TX,41699
1513,VA,AK,40820
1514,TX,TT,40555
1515,UT,CT,40531
1516,MS,CO,40442
1517,FL,KS,39612
1518,MS,IN,39604
1519,MI,NM,39527
1520,PA,AR,39392
1521,CT,UT,39259
1522,NM,PA,39121
1523,NJ,MT,38598
1524,LA,AR,38396
1525,KS,FL,37928
1526,IN,MS,37634
1527,MT,NJ,37464
1528,CO,DE,37278
1529,DE,CO,37213
1530,MS,MS,37045
1531,AR,PA,36799
1532,NV,MS,36546
1533,PA,NE,36493
1534,MS,MO,36186
1535,HI,NC,36068
1536,MN,SC,35826
1537,NC,NM,35686
1538,NE,PA,35319
1539,CT,SC,35029
1540,LA,RI,34670
1541,NC,HI,34490
1542,AR,LA,34434
1543,SC,CT,33804
1544,AK,VA,33734
1545,NJ,WY,33600
1546,OK,PA,33346
1547,KS,WA,33132
1548,LA,LA,33014
1549,MI,MT,32578
1550,MO,MS,31916
1551,LA,CT,31752
1552,MT,MI,31633
1553,KS,UT,30957
1554,CT,LA,30859
1555,AR,OH,30267
1556,KY,PR,30019
1557,UT,KS,29807
1558,DE,GA,29637
1559,GA,DE,29472
1560,MD,MD,29329
1561,OK,IN,29132
1562,WY,NJ,29086
1563,PA,AK,28936
1564,MO,ID,28922
1565,SC,MN,28795
1566,NM,NC,28660
1567,SC,CA,28627
1568,NV,SC,28251
1569,PA,OK,27909
1570,AK,PA,27803
1571,IL,DE,27279
1572,DE,IL,27098
1573,PA,MS,27093
1574,MD,VI,27082
1575,WI,MS,27015
1576,NY,OK,26885
1577,MS,PA,26720
1578,PR,KY,25841
1579,NE,IN,25834
1580,CA,SC,25787
1581,OH,AR,25744
1582,MN,VI,25694
1583,MS,WI,25409
1584,WA,KS,25328
1585,VI,TX,24948
1586,OR,LA,24726
1587,WY,WY,24695
1588,PA,IA,24684
1589,SC,NV,24058
1590,AR,AR,23765
1591,IN,RI,23756
1592,MA,NM,23721
1593,NM,MA,23619
1594,OK,OK,23159
1595,TX,VI,23091
1596,NM,MI,22388
1597,OH,NM,22353
1598,WI,OR,22031
1599,AZ,SC,21936
1600,AK,MA,21769
1601,MN,MS,21724
1602,IA,PA,21528
1603,IA,OH,21479
1604,OH,IA,21470
1605,RI,IN,21081
1606,NH,LA,21074
1607,OR,WI,21064
1608,NM,OH,20980
1609,MS,MN,20898
1610,NH,AL,20894
1611,AZ,WY,20198
1612,IN,NE,20119
1613,NM,ID,20058
1614,OR,OK,19518
1615,MS,LA,19177
1616,AL,MS,19137
1617,MA,HI,19083
1618,PR,IN,18950
1619,PR,CO,18866
1620,FL,AK,18764
1621,SC,LA,18718
1622,MS,AL,18706
1623,NE,NE,18237
1624,IN,PR,18198
1625,NY,WY,18167
1626,ME,NH,18141
1627,LA,MS,18113
1628,MA,AK,17932
1629,ID,MO,17913
1630,OK,OR,17762
1631,ND,ND,17265
1632,RI,WA,17234
1633,CO,PR,17213
1634,NY,MS,17144
1635,SC,AZ,16940
1636,LA,OR,16907
1637,LA,SC,16760
1638,WY,AZ,16553
1639,CT,WA,16551
1640,NH,ME,16478
1641,AR,NM,16319
1642,UT,AL,16247
1643,IN,IA,16219
1644,NM,AR,16206
1645,CA,TT,16107
1646,OR,IN,15883
1647,AL,UT,15834
1648,IN,HI,15726
1649,MS,OK,15670
1650,NH,SC,15553
1651,TT,IL,15411
1652,MS,AR,14938
1653,KY,MT,14623
1654,SC,NH,14450
1655,CT,OR,14436
1656,CT,MA,14303
1657,IN,NM,14233
1658,IA,IN,14159
1659,VI,CT,14142
1660,WA,CT,14123
1661,OK,MS,14004
1662,MO,ME,13985
1663,MT,NY,13937
1664,SC,SC,13906
1665,VI,MN,13877
1666,WV,MD,13758
1667,TX,ME,13716
1668,ND,GA,13704
1669,IA,IA,13684
1670,MA,CT,13630
1671,AL,RI,13598
1672,ID,FL,13488
1673,MD,ID,13451
1674,AR,MS,13433
1675,MD,WV,13354
1676,MT,KY,13269
1677,NJ,MS,13061
1678,MS,NY,12964
1679,VT,MN,12955
1680,WA,RI,12821
1681,IN,NH,12609
1682,WV,NJ,12597
1683,IN,OR,12534
1684,ME,MO,12404
1685,ME,TX,12394
1686,GA,ND,12342
1687,NH,IN,12168
1688,CT,AL,12066
1689,MS,NJ,12060
1690,WY,NY,11937
1691,IN,AR,11602
1692,DE,NC,11594
1693,NY,MT,11529
1694,MN,VT,11310
1695,NC,DE,11232
1696,VI,MD,11207
1697,AL,NM,11140
1698,NM,NH,11054
1699,NH,WA,11018
1700,ID,NM,10931
1701,HI,ID,10900
1702,ND,MI,10883
1703,FL,ID,10825
1704,ID,HI,10789
1705,PA,KS,10727
1706,PR,NV,10420
1707,VA,MT,10418
1708,CT,NM,10415
1709,LA,NH,10381
1710,HI,IN,10319
1711,OK,KS,10164
1712,NJ,WV,10155
1713,IN,OK,10152
1714,AR,AL,10129
1715,NE,NM,9951
1716,UT,NH,9903
1717,OK,AL,9857
1718,ND,MO,9780
1719,WA,NH,9759
1720,MA,NE,9690
1721,NC,KS,9625
1722,MO,ND,9622
1723,AL,OK,9581
1724,WA,AL,9447
1725,KS,OK,9437
1726,OK,ID,9368
1727,KY,WY,9343
1728,SC,RI,9342
1729,MA,OK,9282
1730,NM,IN,9259
1731,PR,WA,9117
1732,PR,RI,8963
1733,NE,MA,8873
1734,MT,VA,8838
1735,VA,WY,8835
1736,AL,MA,8824
1737,MD,IA,8792
1738,AL,AR,8779
1739,OK,MA,8764
1740,AZ,PR,8715
1741,DE,MI,8642
1742,AL,NE,8632
1743,RI,NM,8632
1744,AL,NH,8587
1745,MI,DE,8571
1746,NH,NM,8551
1747,RI,PR,8499
1748,NM,CT,8475
1749,HI,TN,8408
1750,MI,VI,8379
1751,NV,PR,8362
1752,IN,AL,8271
1753,RI,SC,8265
1754,PR,AZ,8150
1755,AL,AL,8119
1756,OH,KS,8092
1757,LA,NE,8037
1758,MT,TN,7998
1759,WY,KY,7945
1760,NE,AL,7804
1761,AK,FL,7788
1762,NM,RI,7778
1763,TN,AK,7655
1764,LA,ID,7605
1765,OK,WI,7596
1766,RI,NE,7587
1767,VA,KS,7560
1768,ND,VA,7532
1769,OR,AR,7512
1770,NE,LA,7502
1771,AL,IN,7473
1772,ID,VA,7391
1773,OR,CT,7361
1774,VA,ID,7342
1775,HI,OH,7323
1776,MI,ND,7317
1777,VA,SD,7294
1778,PR,WI,7263
1779,NY,KS,7231
1780,DE,TX,7201
1781,NY,AK,7199
1782,IA,MD,7152
1783,MD,KS,7135
1784,ID,OH,7039
1785,LA,IA,6997
1786,WY,MT,6982
1787,IA,OK,6973
1788,RI,AL,6929
1789,UT,RI,6908
1790,LA,ND,6876
1791,TX,DE,6875
1792,LA,PR,6862
1793,NE,CT,6831
1794,SD,VA,6826
1795,CT,NE,6825
1796,WI,OK,6809
1797,OK,IA,6805
1798,NH,UT,6769
1799,NM,AL,6758
1800,NM,NE,6677
1801,TN,MT,6672
1802,OK,WV,6628
1803,MS,KS,6578
1804,SC,AR,6532
1805,WY,VA,6483
1806,ND,MT,6476
1807,SC,AL,6409
1808,TN,ID,6391
1809,AK,NY,6383
1810,WY,ID,6371
1811,LA,KS,6288
1812,MT,ND,6283
1813,AL,SC,6265
1814,MT,WY,6218
1815,ID,MD,6210
1816,ME,IN,6188
1817,KS,MS,6150
1818,SD,NE,6069
1819,MO,MT,6060
1820,FL,MT,6055
1821,OH,ID,6047
1822,NM,WI,5998
1823,AL,WA,5997
1824,SC,WI,5973
1825,ID,TN,5971
1826,VA,ND,5969
1827,VI,MI,5935
1828,ID,WY,5932
1829,ID,LA,5928
1830,WA,WY,5921
1831,PA,MT,5913
1832,NE,SD,5870
1833,KS,VA,5864
1834,KS,NC,5806
1835,TN,SD,5759
1836,HI,FL,5682
1837,WA,IA,5633
1838,AL,CT,5545
1839,WA,AR,5515
1840,PR,LA,5508
1841,ID,OK,5501
1842,TN,ND,5493
1843,AR,SC,5454
1844,WI,AL,5391
1845,MA,AL,5349
1846,IA,KS,5340
1847,KS,PA,5199
1848,OK,AR,5194
1849,WI,SC,5167
1850,WY,WA,5117
1851,ID,MI,5091
1852,IN,ID,5016
1853,WV,OK,5012
1854,KS,LA,4943
1855,ME,TN,4935
1856,MS,MA,4906
1857,NH,OR,4873
1858,RI,MS,4873
1859,ND,TN,4805
1860,MS,RI,4798
1861,SD,TN,4783
1862,WI,PR,4754
1863,ID,NE,4751
1864,OR,IA,4736
1865,SC,OK,4728
1866,MD,AK,4666
1867,KS,IA,4660
1868,MS,IA,4598
1869,MT,MO,4597
1870,AR,NH,4589
1871,NJ,KS,4578
1872,NY,ID,4563
1873,IN,ME,4561
1874,OR,NH,4538
1875,WI,NM,4530
1876,RI,UT,4500
1877,SD,IN,4451
1878,IN,KS,4432
1879,WY,MA,4420
1880,NE,MS,4400
1881,AK,TN,4392
1882,IA,NE,4387
1883,WI,RI,4363
1884,NC,ID,4351
1885,SD,OK,4348
1886,OK,NH,4334
1887,OR,RI,4325
1888,AR,IN,4308
1889,RI,OR,4281
1890,ND,OH,4277
1891,OK,NE,4238
1892,NE,OK,4198
1893,MS,WV,4158
1894,PA,ID,4139
1895,ID,NJ,4081
1896,LA,ME,4078
1897,SD,WI,4064
1898,MA,MS,4061
1899,IN,SD,4060
1900,FL,WY,4053
1901,NE,ID,4041
1902,OK,SC,4014
1903,WV,TN,4008
1904,MT,PA,3979
1905,ID,PA,3979
1906,TN,WV,3966
1907,NH,MS,3915
1908,OH,SD,3888
1909,PA,ND,3888
1910,WV,MS,3841
1911,AL,WI,3834
1912,OK,CT,3830
1913,KS,NY,3829
1914,NH,WI,3820
1915,OH,ND,3807
1916,TN,ME,3804
1917,MS,NE,3796
1918,IA,MS,3756
1919,MT,FL,3755
1920,KS,OH,3746
1921,KS,OR,3725
1922,RI,WI,3718
1923,ME,CA,3710
1924,KS,MD,3698
1925,AL,KS,3694
1926,HI,MD,3688
1927,ME,LA,3677
1928,ID,NY,3662
1929,SC,KS,3637
1930,IA,WA,3627
1931,WI,ND,3607
1932,MT,NC,3558
1933,ID,NC,3512
1934,ND,IN,3498
1935,RI,VI,3493
1936,ND,IA,3492
1937,ND,WI,3483
1938,SC,NE,3479
1939,NJ,NJ,3393
1940,CO,ME,3378
1941,MI,ID,3377
1942,SD,OH,3362
1943,AR,WA,3353
1944,NC,MT,3349
1945,IN,MT,3323
1946,NE,SC,3318
1947,KS,NJ,3299
1948,ME,SC,3267
1949,WI,NH,3238
1950,VT,TX,3232
1951,ND,PA,3219
1952,MT,NM,3213
1953,HI,MA,3183
1954,AR,OR,3178
1955,CT,VI,3173
1956,VI,CA,3164
1957,WV,MO,3129
1958,OR,AL,3125
1959,ID,MA,3096
1960,IA,OR,3096
1961,NM,MT,3090
1962,IA,ND,3088
1963,PR,SC,3085
1964,ID,IN,3078
1965,NH,OK,3075
1966,OH,HI,3060
1967,MT,MA,3058
1968,WI,KS,3057
1969,MT,IN,3056
1970,WV,AL,3022
1971,IN,ND,3021
1972,IL,TT,3021
1973,CA,ME,2994
1974,IA,MA,2985
1975,IA,LA,2961
1976,OR,KS,2955
1977,AR,MA,2954
1978,WA,ND,2932
1979,AL,WV,2915
1980,ND,WY,2913
1981,WI,SD,2905
1982,NJ,ID,2902
1983,KS,WV,2900
1984,SC,ME,2897
1985,PA,SD,2869
1986,WV,WV,2862
1987,PA,WY,2848
1988,SD,WA,2841
1989,SC,NM,2805
1990,VI,MO,2789
1991,RI,OK,2781
1992,CT,OK,2778
1993,ME,CO,2741
1994,NE,RI,2696
1995,WV,KS,2678
1996,MA,AR,2677
1997,IA,SD,2674
1998,AK,LA,2648
1999,AZ,ME,2639
2000,ND,SD,2608
2001,WI,ID,2606
2002,LA,MT,2599
2003,WI,HI,2579
2004,OK,RI,2526
2005,ID,WI,2495
2006,AL,OR,2481
2007,MT,SD,2471
2008,NE,IA,2467
2009,ND,LA,2460
2010,MT,WI,2458
2011,WV,IN,2454
2012,WA,SD,2449
2013,KS,AL,2447
2014,VT,TN,2422
2015,ME,WI,2399
2016,AK,WI,2361
2017,LA,HI,2358
2018,ID,KY,2340
2019,WY,NM,2338
2020,MS,NH,2338
2021,ME,CT,2333
2022,KS,IN,2333
2023,NY,ND,2317
2024,ND,NY,2316
2025,AK,NC,2312
2026,OK,MT,2309
2027,NM,WY,2308
2028,HI,LA,2296
2029,OH,MT,2252
2030,ND,OK,2227
2031,LA,SD,2213
2032,NC,SD,2203
2033,UT,SC,2200
2034,SD,PA,2198
2035,SD,MT,2189
2036,CT,AR,2172
2037,NY,SD,2166
2038,ME,AZ,2166
2039,MA,MT,2159
2040,WV,LA,2156
2041,LA,WV,2153
2042,IN,WV,2124
2043,AR,OK,2123
2044,AK,ID,2121
2045,MA,WY,2106
2046,ME,AL,2097
2047,MT,LA,2093
2048,KS,KS,2057
2049,IN,VI,2056
2050,ND,WA,2056
2051,MD,HI,2041
2052,WI,MT,2041
2053,IA,SC,2041
2054,CT,ME,2038
2055,MT,MD,2035
2056,WI,ME,2030
2057,WI,AK,2011
2058,VI,RI,2002
2059,AR,CT,1998
2060,NM,KS,1985
2061,VT,LA,1980
2062,WI,AR,1949
2063,SD,MD,1944
2064,AR,WI,1941
2065,MT,NE,1915
2066,ME,OK,1871
2067,ME,ME,1870
2068,CT,MS,1869
2069,MI,WY,1859
2070,SD,NC,1858
2071,MA,IA,1852
2072,CT,ID,1849
2073,CT,MT,1829
2074,ID,AR,1787
2075,MT,OH,1786
2076,WY,FL,1783
2077,IA,NH,1778
2078,IA,MT,1763
2079,CT,IA,1758
2080,SD,IA,1753
2081,VT,CA,1752
2082,NE,KS,1749
2083,SD,NJ,1733
2084,IA,CT,1715
2085,AL,ID,1704
2086,SD,LA,1695
2087,NH,NE,1689
2088,VT,IN,1663
2089,MT,CT,1662
2090,ID,IA,1656
2091,WY,ND,1651
2092,ND,NJ,1648
2093,MT,IA,1648
2094,MS,CT,1648
2095,AK,MD,1645
2096,MS,NM,1625
2097,MS,PR,1609
2098,TX,VT,1593
2099,NE,NH,1584
2100,WV,IA,1580
2101,HI,WI,1577
2102,OK,ND,1570
2103,NE,MT,1568
2104,VI,IN,1564
2105,MD,SD,1561
2106,IN,VT,1536
2107,KY,ID,1532
2108,WA,PR,1506
2109,MS,ME,1501
2110,WV,CT,1499
2111,IA,WV,1493
2112,MA,KS,1479
2113,WY,SD,1469
2114,NM,IA,1466
2115,ID,AK,1448
2116,MT,OK,1444
2117,VI,CO,1425
2118,ND,KY,1425
2119,MA,ID,1420
2120,SC,DE,1419
2121,NE,ND,1405
2122,VT,MO,1405
2123,MS,WA,1391
2124,KS,NM,1387
2125,OH,WY,1382
2126,NM,SC,1380
2127,CT,WV,1378
2128,DE,SC,1375
2129,IA,NM,1370
2130,NM,MS,1353
2131,AR,MT,1352
2132,OR,SD,1352
2133,SD,OR,1351
2134,NJ,SD,1342
2135,AL,ME,1340
2136,OK,SD,1336
2137,KS,WI,1334
2138,OR,MS,1328
2139,SD,NY,1311
2140,CO,VT,1307
2141,SC,PR,1304
2142,AR,NE,1300
2143,WY,PA,1294
2144,OK,WY,1294
2145,MT,AR,1287
2146,CA,VT,1267
2147,ME,WA,1258
2148,OK,PR,1258
2149,ND,NE,1239
2150,NH,PR,1236
2151,IA,ID,1216
2152,IA,AL,1215
2153,ID,AL,1213
2154,OH,AK,1208
2155,OR,SC,1182
2156,ME,KS,1179
2157,OK,HI,1160
2158,IN,AK,1155
2159,TN,DE,1154
2160,PA,HI,1150
2161,DE,TN,1146
2162,ND,NC,1143
2163,LA,WY,1143
2164,NE,AR,1143
2165,ID,ND,1142
2166,SC,UT,1139
2167,AK,IN,1138
2168,AR,ID,1127
2169,WI,WV,1124
2170,WY,MO,1124
2171,DE,ME,1115
2172,OK,ME,1113
2173,ME,DE,1112
2174,SC,IA,1108
2175,NE,HI,1105
2176,AL,IA,1103
2177,WY,OH,1097
2178,MD,MT,1096
2179,NJ,ND,1095
2180,OR,ND,1079
2181,KY,ND,1075
2182,WV,MA,1073
2183,UT,MS,1072
2184,ND,SC,1066
2185,AK,MT,1064
2186,MO,WV,1057
2187,NE,WY,1056
2188,NH,NH,1042
2189,SD,WY,1032
2190,MO,VT,1028
2191,TN,WY,1026
2192,HI,AL,1011
2193,ID,MS,1008
2194,ME,MS,1004
2195,SC,VT,997
2196,SD,ND,992
2197,PR,UT,986
2198,NH,IA,976
2199,VT,SC,961
2200,ND,MD,961
2201,WI,WY,959
2202,VT,CO,954
2203,WY,NE,952
2204,MD,ND,951
2205,AL,HI,951
2206,KS,SC,950
2207,MA,WV,948
2208,TN,VT,938
2209,PR,NH,937
2210,SC,OR,931
2211,ID,SD,910
2212,WV,WI,906
2213,IN,WY,900
2214,WA,ME,892
2215,SD,ID,892
2216,ND,ID,890
2217,VT,WI,887
2218,AR,RI,870
2219,LA,VI,866
2220,NC,AK,862
2221,IA,WY,857
2222,WY,OK,855
2223,MO,VI,852
2224,RI,WV,846
2225,WI,VT,844
2226,KS,NE,842
2227,HI,PA,837
2228,SC,ND,834
2229,ID,CT,828
2230,ND,OR,818
2231,KS,AR,818
2232,MT,NH,811
2233,SD,MA,810
2234,ME,IA,803
2235,PR,OK,801
2236,NH,AR,800
2237,ME,NV,792
2238,ND,AL,791
2239,NV,ME,791
2240,MS,ND,786
2241,SD,NM,785
2242,LA,AK,782
2243,AL,ND,773
2244,RI,CT,768
2245,MS,ID,766
2246,KS,MA,742
2247,OH,VI,740
2248,LA,VT,740
2249,CT,KS,738
2250,MS,OR,737
2251,AK,NM,732
2252,CT,RI,730
2253,WY,MI,725
2254,AK,ND,724
2255,ID,RI,715
2256,TN,HI,711
2257,PR,IA,704
2258,MS,UT,695
2259,WV,NM,686
2260,HI,NE,682
2261,ND,MA,679
2262,NH,ID,675
2263,PR,AL,674
2264,WY,TN,664
2265,NH,RI,661
2266,MA,ND,647
2267,NM,WV,645
2268,ID,KS,637
2269,AR,ME,634
2270,MT,AK,633
2271,TT,CA,632
2272,WV,MN,632
2273,MO,WY,630
2274,MT,KS,628
2275,DE,PR,628
2276,OR,WY,626
2277,RI,AR,626
2278,SC,VI,616
2279,MD,WY,616
2280,KS,MT,609
2281,NC,ND,607
2282,NH,SD,595
2283,VT,ME,583
2284,KS,ME,579
2285,NH,KS,578
2286,SD,AR,577
2287,NM,SD,573
2288,PR,NE,560
2289,IA,ME,560
2290,OR,PR,556
2291,ND,CT,551
2292,ME,RI,550
2293,AL,PR,547
2294,KS,WY,537
2295,RI,ID,536
2296,ME,UT,526
2297,NH,DE,525
2298,PR,ME,517
2299,RI,KS,517
2300,WV,RI,508
