,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
261,NY,NV,11748998
262,IL,KY,11742904
263,KY,IL,11734184
264,MN,GA,11705106
265,GA,MN,11666966
266,NJ,NC,11628634
267,NC,NJ,11523975
268,SC,NC,11497084
269,UT,NV,11486583
270,NV,UT,11485722
271,IN,IL,11447477
272,NC,CA,11435926
273,NC,SC,11401380
274,VA,CO,11383617
275,UT,AZ,11356203
276,AZ,UT,11346537
277,IL,IN,11277455
278,CO,VA,11196843
279,AZ,GA,11185884
280,GA,AZ,11154179
281,WA,MN,11080868
282,MN,WA,11066252
283,MD,NC,11058720
284,UT,WA,11053827
285,NC,MD,10984999
286,WA,UT,10924831
287,MI,VA,10790641
288,VA,MI,10757044
289,NC,MA,10756950
290,IN,FL,10684159
291,FL,IN,10646098
292,FL,CT,10605754
293,CT,FL,10605302
294,MA,NC,10537678
295,MD,IL,10524862
296,IL,MD,10403627
297,NY,OH,10128426
298,OH,NY,10001859
299,CO,OR,9884152
300,WI,MI,9832756
301,HI,WA,9772270
302,MI,WI,9770400
303,FL,NV,9708376
304,OR,CO,9691371
305,NV,FL,9635925
306,WA,HI,9591437
307,KY,TX,9589079
308,AL,TX,9522691
309,MO,AZ,9520809
310,TX,KY,9471183
311,CO,NY,9461197
312,GA,UT,9450818
313,MN,NV,9440781
314,TX,AL,9420068
315,NY,CO,9418586
316,NV,MN,9393833
317,GA,IN,9392346
318,AZ,MO,9378225
319,IN,GA,9356764
320,NY,MN,9325448
321,NC,OH,9281644
322,OR,OR,9273395
323,MN,NY,9270290
324,UT,GA,9232216
325,OH,NC,9212942
326,MI,NC,8823682
327,NC,MI,8726801
328,NV,MI,8726526
329,AZ,PA,8711348
330,MN,MN,8684836
331,MI,NV,8677922
332,MI,TN,8663773
333,NV,PA,8594457
334,TN,MI,8591584
335,MO,MO,8580918
336,PA,NV,8577774
337,PA,AZ,8530235
338,IL,NE,8339330
339,NE,IL,8270507
340,AZ,OR,8259611
341,FL,LA,8239246
342,AZ,FL,8238604
343,LA,FL,8237465
344,CO,PA,8209961
345,PA,CO,8200914
346,FL,AZ,8180454
347,OR,AZ,8143796
348,IL,IA,8109697
349,ND,MN,8105308
350,MN,ND,8103990
351,OR,NV,8102921
352,NV,OR,8015926
353,NM,AZ,8005043
354,MO,MN,7963188
355,AZ,NM,7945227
356,MN,MO,7924415
357,IA,IL,7890369
358,MT,UT,7803869
359,NC,KY,7798755
360,KY,NC,7787895
361,CA,MD,7744345
362,AZ,MI,7737429
363,UT,MT,7737294
364,MI,AZ,7716780
365,PA,OH,7710318
366,RI,FL,7621278
367,GA,WI,7602724
368,FL,RI,7585771
369,KY,NY,7544186
370,WA,GA,7529977
371,NY,KY,7519621
372,OH,PA,7503392
373,WI,GA,7482672
374,TX,OR,7466150
375,MD,CA,7415956
376,MO,NV,7412671
377,NJ,MA,7379153
378,NV,MO,7374028
379,OR,TX,7356016
380,CA,TN,7353325
381,VA,VA,7352482
382,TN,CA,7350724
383,MN,VA,7325698
384,MI,MO,7281051
385,MO,MI,7275834
386,MA,NJ,7258445
387,VA,MN,7251194
